PATH,GENRE AS SHOWN ON THE STORE,GENRE CODE FOR METADATA,GENRE ID
Music | Christian & Gospel | Christian Rap,Christian Rap,CHRISTIAN-RAP-00,1097
Music | Christian & Gospel | Christian Rock,Christian Rock,CHRISTIAN-ROCK-00,1098
Music | Christian & Gospel | Classic Christian,Classic Christian,CLASSIC-CHRISTIAN-00,1099
Music | Christian & Gospel | Contemporary Gospel,Contemporary Gospel,CONTEMPORARY-GOSPEL-00,1100
Music | Christian & Gospel | Gospel,Gospel,GOSPEL-00,1101
Music | Christian & Gospel | Praise & Worship,Praise & Worship,PRAISE-WORSHIP-00,1103
Music | Christian & Gospel | Southern Gospel,Southern Gospel,SOUTHERN-GOSPEL-00,1104
Music | Christian & Gospel | Traditional Gospel,Traditional Gospel,TRADITIONAL-GOSPEL-00,1105
Music | Classical,Classical,CLASSICAL-00,5
Music | Classical | Art Song,Art Song,ART-SONG-00,100001
Music | Classical | Avant-Garde,Avant-Garde,AVANT-GARDE-00,1017
Music | Classical | Baroque Era,Baroque Era,BAROQUE-00,1018
Music | Classical | Brass & Woodwinds,Brass & Woodwinds,BRASS-WOODWINDS-00,100002
Music | Classical | Cantata,Cantata,CANTATA-00,100006
Music | Classical | Cello,Cello,CELLO-00,100012
Music | Classical | Chamber Music,Chamber Music,CHAMBER-MUSIC-00,1019
Music | Classical | Chant,Chant,CHANT-00,1020
Music | Classical | Choral,Choral,CHORAL-00,1021
Music | Classical | Classical Crossover,Classical Crossover,CLASSICAL-CROSSOVER-00,1022
Music | Classical | Classical Era,Classical Era,HIGH-CLASSICAL-00,1211
Music | Classical | Contemporary Era,Contemporary Era,CONTEMPORARY-ERA-00,100004
Music | Classical | Electronic,Electronic,ELECTRONIC-01,7
Music | Classical | Guitar,Guitar,GUITAR-00,100009
Music | Classical | Impressionist,Impressionist,IMPRESSIONIST-00,1024
Music | Classical | Medieval Era,Medieval Era,MEDIEVAL-00,1025
Music | Classical | Minimalism,Minimalism,MINIMALISM-00,1026
Music | Classical | Modern Era,Modern Era,MODERN-COMPOSITION-00,1027
Music | Classical | Opera,Opera,OPERA-00,9
Music | Classical | Oratorio,Oratorio,ORATORIO-00,100005
Music | Classical | Orchestral,Orchestral,ORCHESTRAL-00,1029
Music | Classical | Percussion,Percussion,PERCUSSION-00,100013
Music | Classical | Piano,Piano,PIANO-00,100010
Music | Classical | Renaissance,Renaissance,RENAISSANCE-00,1030
Music | Classical | Romantic Era,Romantic Era,ROMANTIC-00,1031
Music | Classical | Sacred,Sacred,SACRED-00,100008
Music | Classical | Solo Instrumental,Solo Instrumental,SOLO-INSTRUMENTAL-00,100003
Music | Classical | Violin,Violin,VIOLIN-00,100011
Music | Comedy,Comedy,COMEDY-00,3
Music | Comedy | Novelty,Novelty,NOVELTY-00,1167
Music | Comedy | Standup Comedy,Standup Comedy,STANDUP-COMEDY-00,1171
Music | Country,Country,COUNTRY-00,6
Music | Country | Alternative Country,Alternative Country,ALTERNATIVE-COUNTRY-00,1033
Music | Country | Americana,Americana,AMERICANA-00,1034
Music | Country | Bluegrass,Bluegrass,BLUEGRASS-00,1035
Music | Country | Contemporary Bluegrass,Contemporary Bluegrass,CONTEMPORARY-BLUEGRASS-00,1036
Music | Country | Contemporary Country,Contemporary Country,CONTEMPORARY-COUNTRY-00,1037
Music | Country | Country Gospel,Country Gospel,COUNTRY-GOSPEL-00,1038
Music | Country | Country Hip-Hop/Rap,Country Hip-Hop/Rap,COUNTRY-HIP-HOP-RAP-00,50000130
Music | Country | Honky Tonk,Honky Tonk,HONKY-TONK-00,1039
Music | Country | Outlaw Country,Outlaw Country,OUTLAW-COUNTRY-00,1040
Music | Country | Thai Country,Thai Country,THAI-COUNTRY-00,1294
Music | Country | Traditional Bluegrass,Traditional Bluegrass,TRADITIONAL-BLUEGRASS-00,1041
Music | Country | Traditional Country,Traditional Country,TRADITIONAL-COUNTRY-00,1042
Music | Country | Urban Cowboy,Urban Cowboy,URBAN-COWBOY-00,1043
Music | Cuban,Cuban,CUBAN-00,100024
Music | Cuban | Bolero,Bolero,BOLERO-00,100029
Music | Cuban | Chachacha,Chachacha,CHACHACHA-00,100026
Music | Cuban | Guajira,Guajira,GUAJIRA-00,100027
Music | Cuban | Guaracha,Guaracha,GUARACHA-00,100030
Music | Cuban | Mambo,Mambo,MAMBO-00,100025
Music | Cuban | Son,Son,SON-00,100028
Music | Cuban | Timba,Timba,TIMBA-00,100031
Music | Dance,Dance,DANCE-00,17
Music | Dance | Breakbeat,Breakbeat,BREAKBEAT-00,1044
Music | Dance | Garage,Garage,GARAGE-00,1046
Music | Dance | Hardcore,Hardcore,HARDCORE-00,1047
Music | Dance | House,House,HOUSE-00,1048
Music | Dance | Jungle/Drum'n'bass,Jungle/Drum'n'bass,JUNGLE-DRUM-N-BASS-00,1049
Music | Dance | Maghreb Dance,Maghreb Dance,MAGHREB-DANCE-00,100105
Music | Dance | Techno,Techno,TECHNO-00,1050
Music | Dance | Trance,Trance,TRANCE-00,1051
Music | Disney,Disney,DISNEY-00,50000063
Music | Easy Listening,Easy Listening,EASY-LISTENING-00,25
Music | Easy Listening | Lounge,Lounge,LOUNGE-00,1054
Music | Easy Listening | Swing,Swing,SWING-00,1055
Music | Electronic,Electronic,ELECTRONIC-00,7
Music | Electronic | Ambient,Ambient,AMBIENT-00,1056
Music | Electronic | Bass,Bass,BASS-00,100015
Music | Electronic | Downtempo,Downtempo,DOWNTEMPO-00,1057
Music | Electronic | Dubstep,Dubstep,DUBSTEP-00,100014
Music | Electronic | Electro-Cha'abi,Electro-Cha'abi,ELECTRO-CHAABI-00,100101
Music | Electronic | Electronica,Electronica,ELECTRONICA-00,1058
Music | Electronic | IDM/Experimental,IDM/Experimental,IDM-EXPERIMENTAL-00,1060
Music | Electronic | Industrial,Industrial,INDUSTRIAL-00,1061
